file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7200,,,,,,,,,RSSI_LI-7200,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes,amplitude_resolution,drop_out,absolute_limits,skweness_kurtosis,skweness_kurtosis,discontinuities,discontinuities,timelag,timelag,attack_angle,non_steady_wind,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,head_detect,t_out,t_in,aux_in,delta_p,chopper,detector,pll,sync,mean_value,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,co2,co2,h2o,h2o,cell_t,int_t_2,co2_signal_strength_7200,h2o_signal_strength_7200,flowrate
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[T/F],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[T/F],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[T/F],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[°],[°],[°],[m+1s-1],[m+2s-2],[m],[#],[#],[K],--,[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],HFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,SFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,SFu/v/w/ts/co2/h2o/ch4/none,HFco2/h2o/ch4/none,SFco2/h2o/ch4/none,HFaa,HFU,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--
2013-07-16T060000_AIU-0690.ghg,2013-07-16,06:30,197.270,T,35442,35442,6.42508775018514437E-003,2,8.10037137209277140E-004,-5.8289800069586741,2,0.96816864377395262,-0.14145616969397184,7,0.21183729455125389,0.32637715311213328,7,0.27588483609530295,-3.18741253225744139E-003,7,4.77330079637347787E-003,-9999.0,-9999.0,-9999.0,-9999.0,5.66403567150835675E-011,2.40280042967371270E-012,16.347855659324679,399.78853489872398,406.68586698687761,0.25000000000000000,T,693.50966131907455,16.959851934997840,17.252450948601943,0.25000000000000000,T,290.45992224806150,288.90372082650686,98747.633424084590,1.1832181238934787,1014.7261346937460,2.44551055031298828E-002,1.24970443110922584E-002,1666.1706008781748,1783.4404331122412,1.05619108250046782E-002,93.424516453884507,117.26983223406634,287.81182872117694,0.13391279227634523,0.10929921467680674,-1.34739965345851316E-002,0.17337964945987708,3.19757506633255454E-014,3.46469640394557689E-015,0.17337964945987708,1.8786029850915005,140.77878105339275,39.221218946607252,-4.4571686136030753,-9999.0,7.22757884337224404E-002,7.63007057880813744E-002,5.7463107588401527,0.24246861307605758,41.206969053164428,-6.71716580547341569E-002,kormann_meixner_01,0.67005259498239600,5.0000000000000000,5.0000000000000000,15.000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,6.18088252269116678E-003,1.0395097668654039,-5.6538558237369729,1.0376744214222307,-9.91452915115090955E-002,1.4026845579690992,0.23268036370535369,1.4026845579690992,-2.23402729878644868E-003,1.4026845579690992,HF00000099,HF00000099,HF00000099,HF00000099,HF00001099,SF10101099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF1,18,4,12,1,22,0,0,0,0,0,0,0,0,0,0,73,6.70969988636276743E-002,7.42834480900904232E-002,1.12209646224446600E-002,3.50898562878425163E-002,3.20517266120458680E-003,1.3001043908690868,-4.70902580433214899E-003,2.32680363705353705E-004,-2.23402729878644868E-003,405.93429167048572,413.04739745883626,17.220642825666875,17.522402210624758,289.34870203200211,310.07040643527893,68.412790659782928,83.357507314015209,3.13102570837188389E-004
2013-07-16T063000_AIU-0690.ghg,2013-07-16,07:00,197.291,T,35373,35373,9.77895622104951864E-004,7,-9999.0,-4.5818630615613252,7,1.0272500526280055,3.7080779798406711,7,1.3533729782904793,-2.9447761503357794,9,0.34662486548319510,8.35855266855765056E-002,7,3.05070157120314080E-002,0.36998951797990820,0.0000000000000000,-0.0000000000000000,0.0000000000000000,-2.17959146800093763E-011,-9.45516015346612139E-013,16.048134991448975,393.01276885985965,399.82948593993154,0.29999999999999999,F,696.17489670100167,17.049060461478817,17.344772537155379,0.25000000000000000,T,290.86700826088480,289.30046497956357,98746.654831964886,1.1815444446913328,1014.7832545971299,2.44896225679352153E-002,1.25450718534974824E-002,1674.8702664769153,1829.2234745808391,1.06175200686375905E-002,91.561817883444050,154.35320810392386,287.89253997072069,0.29659284521102891,-2.27886529789005365E-002,-3.74574227434569529E-002,0.29981610539387987,3.46554907706540825E-014,-1.35815873256443968E-015,0.29981610539387987,2.3694365430889599,184.39367737716722,355.60632262283281,-7.1769824099076089,-9999.0,2.70573035946475651E-002,0.11606809515723671,0.38354958939779810,3.6326463083628546,-1.2356436640413369,-0.14123236638977454,kormann_meixner_01,10.171783879133052,5.0000000000000000,10.000000000000000,20.000000000000000,35.000000000000000,70.000000000000000,275.00000000000000,8.65005944191290219E-004,1.1305074013326051,-3.9474040850056413,1.1457138102633420,1.1955597868462613,3.0489393443512833,-0.96583625246317706,3.0489393443512833,2.69496744704204420E-002,3.0489393443512833,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF10110199,HF00000000,SF00000000,HF0000,SF0000,HF0,HF0,20,11,2,11,13,0,0,0,0,0,0,0,0,0,0,73,9.46919022528096982E-002,0.11822356936792348,1.92207186937402331E-002,1.54761539059147801E-002,4.92176582419852088E-003,16.025130244607318,-3.29221531980523679E-003,-9.65836252463177073E-004,2.69496744704204420E-002,399.52249609307376,406.56904407600149,17.331529457411126,17.637231327025411,290.07174494109256,310.76246858362288,68.613587871943309,83.565522632906749,3.13558946917121559E-004
2013-07-16T070000_AIU-0690.ghg,2013-07-16,07:30,197.312,T,36000,36000,7.45820712582529691E-003,2,1.45345377673544176E-003,5.4667405826487663,1,0.99949036967376303,0.87325753017965191,7,-9999.0,-2.7206382780155414,2,0.43305062598653904,1.96945198872258004E-002,7,-9999.0,0.49155135545945383,0.0000000000000000,-0.0000000000000000,0.0000000000000000,6.38281085309469507E-011,2.82477306302933222E-012,15.934064233149064,390.98806132161855,397.87266892366870,0.25000000000000000,T,705.17702100721863,17.303544927261580,17.608229721334229,0.25000000000000000,T,291.42137980482312,289.82852825493416,98740.312480360240,1.1792040201527190,1014.9355182930927,2.45378740540163620E-002,1.27072901362749371E-002,1699.6229166049795,1891.7413230763955,1.07761591031797985E-002,89.844361693226205,192.11840647141594,288.12018429530622,-1.97581656676907996E-002,0.25649166567554177,3.15252586046950315E-003,0.25727086521962150,3.70654615463053399E-014,4.00576448023597178E-015,0.25727086521962150,1.8153370256990071,85.595068440040635,94.404931559959365,0.70210416966718225,-9999.0,7.72554833616885539E-002,0.11969786943377986,-7.4829627909350798,-0.18619630204333695,6.2601699884845132,5.91250810487150141E-002,kormann_meixner_01,1.8689620916343948,5.0000000000000000,5.0000000000000000,5.0000000000000000,10.000000000000000,70.000000000000000,275.00000000000000,7.03797272329976381E-003,1.0597095810181694,5.3042148093426844,1.0449355256825918,0.70811523490456785,1.2119881958976713,-2.2447729171161384,1.2119881958976713,1.59700765172978536E-002,1.2119881958976713,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00010199,HF00000000,SF00000000,HF0100,SF0100,HF0,HF1,9,5,2,60,3,0,0,0,0,0,0,0,0,0,0,73,0.13145270699155187,9.25742750326443431E-002,1.53687568433634944E-002,3.08560638168329307E-002,7.50025407386322417E-003,86.826144983003857,4.43193825712793338E-003,-2.24477291711613815E-003,1.59700765172978536E-002,398.40239349674715,405.55297700479548,17.631750695257324,17.948278317383249,291.26884087287056,311.81365075598814,68.758009873708119,83.709781217363158,3.15075219364694542E-004
2013-07-16T073000_AIU-0690.ghg,2013-07-16,08:00,197.333,T,35212,35212,7.08888690106759031E-003,4,3.11429964015190767E-003,11.757499012588198,1,1.1897786326026825,12.088785123365328,4,3.0533347367083166,-2.8642847354945351,2,0.39474702227592290,0.27268380392327762,4,6.88733336030148413E-002,0.16371532956087770,0.0000000000000000,0.0000000000000000,0.0000000000000000,6.36522065486023914E-011,2.83778727701345032E-012,16.031087710686933,393.69270401451939,400.72620386569480,0.25000000000000000,T,714.70918619824249,17.551884012887466,17.865456432019570,0.25000000000000000,T,291.62124269652958,290.00452677350438,98726.740829764181,1.1782173009351260,1015.0779834335842,2.45580780992214823E-002,1.28790597559602631E-002,1723.6419386259354,1912.9695803361892,1.09309715158132786E-002,90.102945511711638,189.32764171025383,288.33831374057985,-0.13483075386082907,0.35629089405234554,-4.73751311871520916E-003,0.38097897238811479,2.67710205833512941E-014,3.97054820591926605E-015,0.38097897238811479,2.0437378889803535,69.271911456433557,110.72808854356644,-0.71249733654830094,-9999.0,7.59098259584957274E-002,0.12774321724187179,-3.3004356186254586,-0.42215639418540496,0.97259558281528080,0.12950667443219793,kormann_meixner_01,3.3655579633421491,5.0000000000000000,5.0000000000000000,5.0000000000000000,10.000000000000000,15.000000000000000,80.000000000000000,6.78924352910675443E-003,1.0441350160258958,12.036762055785866,1.0348537285898345,9.9104082404936253,1.1985124304076502,-2.3898665235539571,1.1985124304076502,0.22354668313420153,1.1985124304076502,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00000099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF1,7,7,0,13,4,0,0,0,0,0,0,0,0,0,0,73,0.13775005877498486,0.10184766543840630,1.58887102703524144E-002,5.08107178271880455E-002,8.13749325679667158E-003,92.354029147495609,1.00643300723270296E-002,-2.38986652355395717E-003,0.22354668313420153,401.45979350558605,408.77661396711028,17.898214442167781,18.224497389250917,291.66378960202644,312.33639917327071,68.790149664778625,83.738657007864163,3.15257233384402726E-004
2013-07-16T080000_AIU-0690.ghg,2013-07-16,08:30,197.354,T,35288,35288,3.89389340636516756E-002,5,6.25099295487664686E-003,25.103839852130903,5,2.8229576607657170,25.865805115532716,5,6.9591874772411533,-7.8146513530809045,5,0.90237258532125963,0.58378876569320859,5,0.15706820063863200,0.56121611415096784,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,9.45136685889054141E-012,4.18745099995653118E-013,15.969991439980115,393.03755558090847,400.00305851466959,0.25000000000000000,T,707.55434238315024,17.413624184840316,17.722232480980480,0.25000000000000000,T,292.21649713544355,290.60918471869309,98715.507790139352,1.1756926609356515,1015.0116588387698,2.46110060270262644E-002,1.27501294682032286E-002,1709.9454750218761,1987.6295211612280,1.08447810315123443E-002,86.029386101232717,277.68404613935206,288.21425864721812,6.62063327898621129E-002,0.14981326133492445,-2.12926952263903825E-002,0.16516861276683134,8.46650933485932925E-015,5.91820408571384286E-016,0.16516861276683134,1.7591554244738397,113.84186801613730,66.158131983862702,-7.4068930570171103,-9999.0,0.17466277321050605,0.16771016598899757,-18.828332277548348,-7.40001811876576099E-002,0.97054159884069324,0.12044117017546996,kormann_meixner_01,0.12628674031355633,5.0000000000000000,5.0000000000000000,5.0000000000000000,10.000000000000000,15.000000000000000,80.000000000000000,3.58669551716487983E-002,1.0856492801605624,25.048991147317331,1.0617028141901126,20.570937290382286,1.2356167605645056,-6.3244944569307169,1.2356167605645056,0.46428410158758515,1.2356167605645056,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00000099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF1,7,0,0,19,5,0,0,0,0,0,0,0,0,0,0,73,0.18351951331691510,0.12863194693637284,2.32688717247072213E-002,0.10916700585408523,1.02204274541083939E-002,190.19756307134176,2.09906265142527429E-002,-6.32449445693071717E-003,0.46428410158758515,401.74773363540953,409.02794701124009,17.799621275681304,18.122327500648126,292.93555021404927,313.35753256262262,68.913217724869511,83.859676499670542,3.17115114894091720E-004
2013-07-16T083000_AIU-0690.ghg,2013-07-16,09:00,197.374,T,35471,35471,1.68802630720263427E-002,1,4.70881624388259142E-003,30.817376980264825,1,2.9530061955333871,25.053303619134898,1,6.5354844092558322,-6.8120801393974455,1,0.71173465176532302,0.56576936278205192,1,0.14758839416581443,0.54115751904940457,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-3.05128735403289398E-011,-1.33400152593343217E-012,15.891860443864795,391.94630582992198,398.77964176398871,0.40000000000000002,F,694.78104230389852,17.135618819054397,17.434367494796543,0.25000000000000000,T,292.77835248840825,291.19354510559225,98695.454168436016,1.1732165697881258,1014.8671858385635,2.46633367574805619E-002,1.25199545968313290E-002,1682.4542151192054,2062.2168002172498,1.06714778151252507E-002,81.584740020640055,379.76258509804444,287.96260014344779,-3.70032030222760882E-004,0.28655023040835714,-3.12285943404829215E-002,0.28824711026353428,-8.60086530029275548E-015,-1.92003155628696255E-015,0.28824711026353428,1.9506906377072637,89.926012057985290,90.073987942014710,-6.2196131640217853,-9999.0,0.11679482785358475,0.17517066798849251,-4.5850736948619923,-0.30387734041468600,1.2300723868099981,0.22160760570422680,kormann_meixner_01,0.99467968041124566,5.0000000000000000,5.0000000000000000,10.000000000000000,10.000000000000000,15.000000000000000,80.000000000000000,1.60038845524274193E-002,1.0547603625062389,31.009107303016698,1.0417330037885164,20.392737181962797,1.2075993499619053,-5.6410101078742203,1.2075993499619053,0.46052153824571523,1.2075993499619053,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00000099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF1,19,11,0,13,10,0,0,0,0,0,0,0,0,0,0,73,0.17175588556654986,0.15049531868428351,2.80901317261516396E-002,0.17136139534407399,9.61337445562181724E-003,243.63158816283251,2.60436509030027158E-002,-5.64101010787422009E-003,0.46052153824571523,401.71785468604429,408.89903154548739,17.562847588769895,17.876996873014363,294.24872030591735,314.64406946245731,69.061261836765482,83.994796982643891,3.18244382149222176E-004
2013-07-16T090000_AIU-0690.ghg,2013-07-16,09:30,197.395,T,35530,35530,2.06571816570371644E-002,2,2.29952444022402808E-003,29.717490540522892,1,2.3130207313314894,18.517446656685184,1,4.2696626200613013,-8.3758449918901459,1,0.67810057488209641,0.41832566046189151,1,9.64554924121664020E-002,0.35092411310223659,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,5.31900758105771563E-012,2.32934009697795006E-013,15.732457787542584,388.55557309196223,395.28165410701547,0.25000000000000000,T,688.96771042482010,17.015920028588759,17.310473664114319,0.25000000000000000,T,293.14880975432845,291.57303264118917,98682.828287934492,1.1715920179952608,1014.8077151302086,2.46977032030959442E-002,1.24151983545754598E-002,1670.5518298563579,2111.9490837817411,1.05968615045870691E-002,79.100004952060701,441.39725392538338,287.85252179202939,0.14247929812448273,0.55028144768349385,-7.98642868097794944E-004,0.56842823635805584,-6.44368181652880372E-014,3.38091330222380130E-016,0.56842823635805584,2.3054078979528367,104.51628124670589,75.483718753294113,-8.05007172555712303E-002,-9999.0,0.13066476560151430,0.16732794054298597,-6.6571566054902442,-0.20929355918274886,1.6048373780406846,0.19129053197132256,kormann_meixner_01,2.9755396386446247,5.0000000000000000,5.0000000000000000,5.0000000000000000,10.000000000000000,20.000000000000000,80.000000000000000,2.00029197050893524E-002,1.0327083226645832,30.030879330877298,1.0274439506151456,15.298264036233791,1.1899388937766386,-7.0388866484621024,1.1899388937766386,0.34560144956958705,1.1899388937766386,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00010099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF1,12,2,0,9,8,0,0,0,0,0,0,0,0,0,0,73,0.14813158271555166,0.15490603226983085,3.16182661005893970E-002,0.12115206395310703,1.00772075735193894E-002,193.07484848913836,2.52585191008205777E-002,-7.03888664846210200E-003,0.34560144956958705,397.99332467473107,405.05297659222299,17.429176490670883,17.738505318015473,294.41113817476395,315.03500424703680,69.096648555146842,84.022759798148172,3.19685444753723866E-004
2013-07-16T093000_AIU-0690.ghg,2013-07-16,10:00,197.416,T,35528,35528,1.77472185635757160E-002,2,2.41046069399905106E-003,14.593145190683584,4,1.8638603154710411,18.265706748215980,4,3.1677809708122315,-3.2436354719026705,2,0.51540870875330003,0.41261986804950923,4,7.15597476847674302E-002,-4.35923111560658286E-002,0.0000000000000000,0.0000000000000000,0.0000000000000000,-3.94436661928418810E-011,-1.74300335478801225E-012,15.921667264137039,393.22753965756681,400.18133171083440,0.14999999999999999,F,703.57352989275614,17.376602810378689,17.683888720823372,0.25000000000000000,T,293.13485195088617,291.52590062922928,98678.398911268043,1.1715712426327325,1015.0085068165677,2.46976358150190201E-002,1.26783952258972422E-002,1705.6888881640291,2105.6690838413215,1.08217023127049408E-002,81.004603299412167,399.98019567729233,288.17552697766513,0.34622731846507249,-0.25653489048193812,-3.75750918018756680E-002,0.43254525036113534,2.56253176279683480E-014,-2.47735777531837173E-015,0.43254525036113534,2.4934397276064959,216.53635694423807,323.46364305576191,-4.9835506438306538,-9999.0,0.12068824508723797,0.17103471645066504,-10.682798251091743,-0.13042462913287814,0.79893679406130313,0.10168234327980709,kormann_meixner_01,2.2029588415998784,5.0000000000000000,5.0000000000000000,5.0000000000000000,10.000000000000000,35.000000000000000,80.000000000000000,1.70646996018026277E-002,1.0399959552584794,15.149584332774134,1.0321731747678069,15.018691557611527,1.1951775751366125,-2.7139360203707912,1.1951775751366125,0.33927022995610129,1.1951775751366125,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00010099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF1,3,21,0,31,5,0,0,0,0,0,0,0,0,0,0,73,0.17630883528746150,0.14379450783409370,2.19660897797748569E-002,0.10144434840185684,9.46580456947065767E-003,154.17273206866454,1.27397918403631197E-002,-2.71393602037079112E-003,0.33927022995610129,401.66863324159362,408.92682396026402,17.750327035415179,18.071227768488210,293.61871427395550,314.61507789424559,69.043304661860532,83.971378645094859,3.17582728193140454E-004
2013-07-16T100000_AIU-0690.ghg,2013-07-16,10:30,197.437,T,35505,35505,1.05612098009776646E-002,1,2.20773600470734570E-003,9.7286847074817473,1,1.0248136838703110,23.551683501680873,2,5.0810424067274305,-5.0977445793508434,2,0.56817976551902261,0.53217543723148508,2,0.11481157872212847,0.26285611753694160,0.0000000000000000,0.0000000000000000,0.0000000000000000,-5.46689369292787498E-011,-2.44488622199610606E-012,15.946688234263707,394.29993018430764,401.37772538397132,0.29999999999999999,F,713.16254788079186,17.633751830380774,17.950282660094057,0.25000000000000000,T,293.44476953551322,291.81039085443444,98668.879549535282,1.1702039552202028,1015.1580144663558,2.47261327488110458E-002,1.28511893330022758E-002,1730.6213772306701,2143.4908179322852,1.09820081154861637E-002,80.738455362272603,412.86944070161513,288.40119693376812,0.36859910369131377,1.99744084562591181E-003,-2.64787438116621601E-002,0.36955434361651879,2.54585966765348549E-015,-3.42823137482645676E-015,0.36955434361651879,2.3866470821539556,179.68951685203263,0.31048314796764021,-4.1087904871171688,-9999.0,9.29281111768105184E-002,0.19421422733522908,-7.3150723804678721,-0.19046974896930335,0.41307810147785889,8.81275729097464600E-002,kormann_meixner_01,2.5715489888018137,5.0000000000000000,5.0000000000000000,5.0000000000000000,10.000000000000000,20.000000000000000,80.000000000000000,1.01054528834637319E-002,1.0451000982113052,10.648476616523855,1.0354806899901892,19.293286278176804,1.1993098131465387,-4.2505652196543569,1.1993098131465387,0.43595240484563119,1.1993098131465387,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00000099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF0,13,16,0,15,2,0,0,0,0,0,0,0,0,0,0,73,0.15162813870444650,0.20877532617920919,2.80249897868024705E-002,1.96558342260933494E-002,6.74366066984460281E-003,219.22684560086986,8.96380235772781080E-003,-4.25056521965435676E-003,0.43595240484563119,402.43233811959772,409.80776874507069,17.997508704225798,18.327514254019331,293.67305481618877,314.26899297166551,69.001382239679771,83.933305447095890,3.18123111392806346E-004
