file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7200,,,,,,,,,RSSI_LI-7200,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes,amplitude_resolution,drop_out,absolute_limits,skweness_kurtosis,skweness_kurtosis,discontinuities,discontinuities,timelag,timelag,attack_angle,non_steady_wind,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,head_detect,t_out,t_in,aux_in,delta_p,chopper,detector,pll,sync,mean_value,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,co2,h2o,co2,h2o,co2_signal_strength_7200,h2o_signal_strength_7200,flowrate
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[T/F],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[T/F],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[T/F],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[°],[°],[°],[m+1s-1],[m+2s-2],[m],[#],[#],[K],--,[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],HFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,SFu/v/w/ts/co2/h2o/ch4/none,HFu/v/w/ts/co2/h2o/ch4/none,SFu/v/w/ts/co2/h2o/ch4/none,HFco2/h2o/ch4/none,SFco2/h2o/ch4/none,HFaa,HFU,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
2013-08-14T150000_AIU-0690.ghg,2013-08-14,15:30,226.645,T,34974,34974,0.18611253783108106,1,1.13532260630561290E-002,166.72298989190432,1,6.7760690942889372,73.345971696717143,1,8.0335745780809589,0.34535177675488804,1,0.13777317028207359,1.6673316776419600,1,0.18262261810532465,-9999.0,-9999.0,-9999.0,-9999.0,8.29560555610109304E-012,3.69078721853553684E-013,14.009352624075476,353.07814130884884,358.71307688302096,0.20000000000000001,F,623.28830915625747,15.708754258796427,15.959457454045749,0.94999999999999996,F,299.51291520197299,298.02610431968037,99329.181078153590,1.1542943538645754,1014.2299914899446,2.50696758994712575E-002,1.12914007236763723E-002,1552.9696119066148,3133.8637365537465,9.78208087553472314E-003,49.554471491296795,1580.8941246471318,286.72636192064886,2.4286384227437789,-2.6121377639967838,-0.14323887961738588,3.5696030119834039,-1.25764571187085498E-013,5.92147672965619817E-016,3.5696030119834039,9.2729591905522781,227.08481727932431,312.91518272067566,-2.2997479904314631,-9999.0,0.39830450827908215,1.5214728493866969,-33.764826545751184,-4.12648351121272586E-002,2.2731035670411139,0.35754215037266263,kljun_04,34.886500287869239,-5.2941610116636602,11.975406623291308,29.820455735340023,45.478076554092240,63.783649004817555,95.559529111833243,0.18312473764289589,1.0163156558018478,168.32973689104961,1.0181375662970360,58.885246751982827,1.2455746683993880,0.27726300599760795,1.2455746683993880,1.3386043566416987,1.2455746683993880,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00000099,HF00000000,SF00000000,HF1100,SF1100,HF0,HF1,7,6,2,24,35,0,0,0,0,0,0,0,0,0,0,60,1.5041158887192345,1.3692801366197707,0.16954967343438870,0.63127758221484465,0.25861942199866911,0.22036133455981860,0.14378309390155386,7.06129403621292076E-003,3.40913816698799332E-002,13.690945544071196,609.10920278499884,353.07798941063345,15.708528960114329,56.008372699429678,66.779745050555675,3.25292081324312439E-004
2013-08-14T153000_AIU-0690.ghg,2013-08-14,16:00,226.666,T,35378,35378,0.15146952678397796,2,1.11104111570051421E-002,136.85233966093924,1,7.2233617103781116,73.207988342890317,2,7.5464531027171162,-0.10823522895239250,4,-9999.0,1.6635804101503027,2,0.17148581503151458,-0.34697298851328834,0.0000000000000000,-0.0000000000000000,0.0000000000000000,-1.01717131115491749E-010,-4.67460698367949740E-012,14.022676721169445,352.48820091089095,358.29227611537544,0.25000000000000000,T,644.43915997032195,16.199275260445461,16.466012733151786,1.1000000000000001,F,299.17690552791225,297.64558235492092,99333.720315900777,1.1556112393064593,1014.4920512436328,2.50404070707185671E-002,1.16575958358176180E-002,1601.2847746492534,3063.3502576302449,1.00878179783141699E-002,52.272337146584732,1462.0654829809914,287.19788557149030,1.7948930222348110,-2.6422189259598281,-0.11899488079617426,3.1964232503880026,-1.05439307258106789E-013,-7.25375997308229153E-015,3.1964232503880026,9.7602027531356761,235.81123217303926,304.18876782696077,-2.1334722313600500,-9999.0,0.35917466237569762,1.4296626983985221,-30.166577551066016,-4.61868767725281404E-002,1.8693634773838150,0.32500207123621344,kljun_04,32.579274512520271,-4.9440305989204445,11.183410676333281,27.848273844422359,42.470374733242615,59.565304435560243,89.239680264062841,0.14908128980281288,1.0160196962631860,138.94549594566158,1.0176894641015686,59.273839137351636,1.2350809296028544,-8.76341188323553899E-002,1.2350809296028544,1.3469404071239559,1.2350809296028544,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00010099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF1,19,10,2,52,61,1,0,0,0,0,0,0,0,0,0,60,1.6460281980284239,1.0497030047468705,0.16359419402174996,0.58907881387976468,0.35792518174404037,0.16708975163186762,0.11851793272242118,-2.23034778096348543E-003,3.42805472131912231E-002,13.706570504292896,629.90387782539301,352.48835210697985,16.199030012307027,55.870562912307335,66.586822443559953,3.24127939203452758E-004
2013-08-14T160000_AIU-0690.ghg,2013-08-14,16:30,226.687,T,35546,35546,0.16207343819958300,1,1.08064422146215231E-002,117.74315004313239,1,6.0939517568538584,59.116167544917786,2,6.8279897210879250,-0.65026248363168881,8,0.34239139989656636,1.3427982211069829,2,0.15509483838320731,-0.39202624404576486,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.56871067297549635E-010,7.31595615235158932E-012,14.094819481246031,353.04373809476380,358.95384539317723,0.14999999999999999,F,657.33651894212392,16.464811212538585,16.740439386654803,1.1499999999999999,F,298.77063673952324,297.21643293553410,99367.718389331785,1.1575611985612158,1014.6286493022432,2.49978475315286962E-002,1.18688580190466422E-002,1627.9516683079200,2985.5392906595062,1.02533309114014662E-002,54.527892947217090,1357.5876223515861,287.45280500367784,1.4439627714571619,-2.9932948807942155,-9.78317233174538919E-002,3.3248178558876642,-2.34886537158389312E-014,1.11296968014578433E-014,3.3248178558876642,8.4066043410891691,244.24738015985614,295.75261984014384,-1.6861537291742086,-9999.0,0.37120737637689294,1.4862703543418958,-38.716570632998412,-3.59871749284653916E-002,1.9917250209710990,0.27006479301383907,kljun_04,32.899619534141721,-4.9926441918505029,11.293374755905857,28.122099950752112,42.887976822784637,60.150997303888694,90.117154908033086,0.15950604844080229,1.0160958771399415,119.32503528661914,1.0178267276044923,47.725469527506270,1.2386712614916562,-0.52496776493273722,1.2386712614916562,1.0840634338201509,1.2386712614916562,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00010099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF1,19,9,7,42,10,0,0,0,0,0,0,0,0,0,0,60,1.4799373447197144,1.3220870127188440,0.17051635124523296,0.51054974978980505,0.63624682879288286,0.14258970814893110,0.10159690772559113,-1.33416416499333654E-002,2.75506170587023341E-002,13.777219693878957,642.51212905648924,353.04378904439972,16.464668149894177,55.851438188636017,66.568110696359810,3.23457392177777859E-004
2013-08-14T163000_AIU-0690.ghg,2013-08-14,17:00,226.708,T,35339,35339,0.20598436475947751,2,1.20643084128854543E-002,129.15852847136091,1,6.4941780959579951,83.564264192205414,2,9.0567537200966974,-1.5503565411033506,4,0.38559946147048396,1.8976341066540789,2,0.20566691899890854,-0.24443789688621620,-0.0000000000000000,0.0000000000000000,-0.0000000000000000,-1.12439259508453816E-010,-4.99767956445730958E-012,14.208576782398991,355.71563007083665,361.43012332813720,0.25000000000000000,T,631.54021234086042,15.810783021293510,16.064779768498099,1.0500000000000000,F,298.44019469981680,296.94912605180048,99393.610068063979,1.1591880403664792,1014.2592407563322,2.49636951211969112E-002,1.14129864806512878E-002,1564.0190670365118,2938.0912564460964,9.84567307737496504E-003,53.232487711370240,1374.0721894095846,286.83532323475259,1.1010217821919090,-3.0891452959837529,-8.55337847684553565E-002,3.2806072079565669,-2.09632092224896634E-013,-7.91347798097125474E-015,3.2806072079565669,8.7451266158271075,250.38310321778502,289.61689678221495,-1.4940161885119618,-9999.0,0.41819420293767207,1.6349986325597281,-50.468724997091037,-2.76071963395213248E-002,1.5456191677136597,0.26268919833215237,kljun_04,36.585905403360606,-5.5520522942863719,12.558757406768635,31.273081668143671,47.693422756806825,66.890703553398453,100.21446300507515,0.20272621329973770,1.0160716831173802,131.83007943509779,1.0177805097718644,67.529805332945784,1.2374426933441327,-1.2528713850284108,1.2374426933441327,1.5335127168804956,1.2374426933441327,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00010099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF0,32,20,1,39,18,2,0,0,0,0,0,0,0,0,0,60,1.5033311521530539,1.6007144826104702,0.16595163035593191,0.46977767993796660,0.74865903988655669,0.19597217628630084,0.11212737338982794,-3.17763190399791354E-002,3.88941673708629032E-002,13.888734252450011,617.32840132328022,355.71587838649907,15.810438176811992,55.955102065007658,66.685725065479744,3.22768110877638800E-004
2013-08-14T170000_AIU-0690.ghg,2013-08-14,17:30,226.729,T,35481,35481,0.16568647691739402,1,9.40791908301326189E-003,121.14864599034529,1,5.0902775576473331,63.685157009899513,1,6.5287287312191271,-0.54147170593715410,2,0.20646487609801534,1.4463152757531306,1,0.14827002929022812,7.13242524469083344E-002,-0.0000000000000000,0.0000000000000000,-0.0000000000000000,3.11556384048841725E-012,1.27359876470067544E-013,14.264206106003131,357.62988567231690,362.93579199155755,0.25000000000000000,T,583.10072289173365,14.619407719820723,14.836305722229911,1.0000000000000000,F,298.40613436116314,297.02715254626008,99402.584527194136,1.1595040526184934,1013.6017027851805,2.49585925042017688E-002,1.05551517610855405E-002,1446.8480592814660,2952.1004099334054,9.10316073259853989E-003,49.010801069402127,1505.2523506519394,285.64363807272844,1.7521778621228130,-2.8750372140336227,-0.10357137689047806,3.3684853083695914,1.88720575282295131E-013,2.18418313457853317E-016,3.3684853083695914,8.2071415172028868,238.63997847151671,301.36002152848329,-1.7619605400495508,-9999.0,0.37500136515684623,1.3245160080954295,-38.791002334935683,-3.59181231763422565E-002,1.9023058382585660,0.27488188070374697,kljun_04,33.978536610294263,-5.1563740206453703,11.663732074442390,29.044342039985029,44.294454198844178,62.123601822048023,93.072475931841922,0.16305644458030830,1.0161295822673870,122.83347428402909,1.0178784129231517,51.362968599873497,1.2399041322166953,-0.43670449341040046,1.2399041322166953,1.1664734701443524,1.2399041322166953,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00000099,HF00000000,SF00000000,HF0100,SF0100,HF0,HF0,10,2,3,21,12,0,0,0,0,0,0,0,0,0,0,60,1.1502904970430670,1.3382086213146709,0.16053289783312100,0.35765159083197429,0.30601027344171244,0.14670969763274855,0.10451464108256740,-1.10605202010422565E-002,2.95435553679700355E-002,13.942516827532231,569.93723745983937,357.63004497993046,14.619195749882078,56.075449017337952,66.823853507116795,3.23587283340011030E-004
2013-08-14T173000_AIU-0690.ghg,2013-08-14,18:00,226.749,T,35531,35531,0.14237732957761493,1,7.77719397130950674E-003,73.020764467934498,1,4.0911847318039420,45.387716368712269,1,5.1096574077724863,0.40101357066061810,1,0.13612824225596309,1.0304123128090605,1,0.11600173633838577,-0.33041407523763017,-0.0000000000000000,0.0000000000000000,-0.0000000000000000,-5.95083624213566269E-012,-2.28027864144918337E-013,14.323316338564370,358.18893291543679,363.17360228435655,0.14999999999999999,F,548.84979173661270,13.725307504637678,13.916313182396920,0.90000000000000002,F,297.95914127972236,296.66613582936714,99420.519582591616,1.1615127115328694,1013.0986331901963,2.49167104637961628E-002,9.92627200250438546E-003,1358.9940605254596,2888.7839667768530,8.54598654319030544E-003,47.043810688334403,1529.7899062513934,284.69306651926223,1.7185795955178429,-2.8560032918112439,-0.12381708854385384,3.3355061535518860,2.00032842905330052E-014,-4.15464973437298044E-016,3.3355061535518860,7.4737554788547191,238.96287444181166,301.03712555818834,-2.1273613499180191,-9999.0,0.34732765483878714,1.0246122860160538,-51.133820792753603,-2.72481105147036190E-002,1.6088221728262779,0.17866163944927130,kljun_04,34.012499114072327,-5.1615279616218706,11.675390302964349,29.073372677401171,44.338727752626944,62.185696110739350,93.165504491362384,0.14012082801089790,1.0161039696863734,74.372280412342448,1.0178392685711410,36.633148009303667,1.2389794171438724,0.32366443309045845,1.2389794171438724,0.83166217174486556,1.2389794171438724,HF00000099,HF00000099,HF00000099,HF00000099,HF00001099,SF00001099,HF00000000,SF00000000,HF1100,SF1100,HF0,HF0,29,13,2,21,11,0,0,0,0,0,0,0,0,0,0,60,0.96994436497756398,0.94191005026523000,0.13737015678931358,0.29017448680029012,0.38677064545737772,0.12336036093170211,6.32026665264954907E-002,8.17641765145213188E-003,2.10094671081738835E-002,14.002554235993646,536.55052958417525,358.18866661619796,13.725177253507479,56.144560514603981,66.906599408919746,3.22759941934371258E-004
2013-08-14T180000_AIU-0690.ghg,2013-08-14,18:30,226.770,T,35445,35445,0.15346090047463748,1,8.83518354679053118E-003,53.139637301544838,1,3.9405404370704540,46.801107519743525,2,5.7654185576841801,0.39801541432316029,4,0.13126774179287787,1.0621954953998916,2,0.13085163889516085,-0.27070468982032830,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-5.55206338853491193E-011,-2.09894291116414855E-012,14.346469709625552,358.06016679556075,362.97351057384611,0.20000000000000001,F,542.36450108679060,13.536370107332559,13.722117772152824,1.0000000000000000,F,297.64462380965523,296.37070115811031,99440.581140896116,1.1629873454081450,1012.9868290989928,2.48853875747892007E-002,9.80195276366239640E-003,1340.6379610180534,2837.7741061737197,8.42825401528547735E-003,47.242589115935203,1497.1361451556663,284.48764699412504,1.0757803192802071,-2.7292020260274028,-7.76423834660403128E-002,2.9345996888729062,-7.27735773915564320E-014,-3.86998578807846851E-015,2.9345996888729062,8.4525673675382951,248.48693337226348,291.51306662773652,-1.5160841418305355,-9999.0,0.36039822344391192,1.2020577444682254,-78.507507686546006,-1.77473472417819800E-002,1.1354354654775496,0.12515757980929848,kljun_04,34.696402875196085,-5.2653129958899978,11.910152333064090,29.657963326148909,45.230265377420828,63.436090305990881,95.038822847503809,0.15105679714830997,1.0159152277270060,54.861357020604366,1.0174459106481915,38.115946979888079,1.2278615967337287,0.32415332101104305,1.2278615967337287,0.86507754475379761,1.2278615967337287,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00000099,HF00000000,SF00000000,HF1100,SF1100,HF0,HF0,27,20,5,8,20,0,0,0,0,0,0,0,0,0,0,60,0.91017542016144237,1.3532173627580806,0.14072270601692796,0.22388218900440363,0.32908713551697455,9.75388956074261376E-002,4.65680184180294957E-002,8.17692063015521171E-003,2.18219896693280062E-002,14.025806648589564,530.23559661025376,358.06025461321752,13.536268026154064,56.224853806529978,67.004365924841125,3.22162093753667776E-004
2013-08-14T183000_AIU-0690.ghg,2013-08-14,19:00,226.791,T,35435,35435,0.11712655356183385,1,6.30523501917358651E-003,25.653266091411503,1,1.9643526844181216,34.233144535749425,1,3.6358453688347638,1.1940670246196390,1,0.16292899718334200,0.77657240598380384,1,8.24784641946206820E-002,-0.46492956859169243,-0.0000000000000000,0.0000000000000000,-0.0000000000000000,-4.41949251085881326E-011,-1.60528250953723881E-012,14.383552165091942,358.29513817227553,363.01957482826793,0.20000000000000001,F,522.45059039938735,13.014275217052331,13.185879886879171,1.1000000000000001,F,297.08685308978278,295.86419537462490,99456.551685304075,1.1653930379006658,1012.6860063885434,2.48347650781604971E-002,9.44310295230857584E-003,1289.3516715625533,2752.1743587579872,8.10293407048264316E-003,46.848473370139871,1462.8226871954337,283.90029854657507,1.8503888722890047,-2.6468036451965964,-0.10802190954105698,3.2312810536778862,-1.85482602141326148E-014,-3.07260158000794026E-015,3.2312810536778862,7.6753099841611032,235.04247984586743,304.95752015413257,-1.9157581151977525,-9999.0,0.31451140204915112,0.82843389298800141,-108.08215789686304,-1.28911193772569838E-002,0.74936925717186109,6.91128883419513673E-002,kljun_04,32.174585331695774,-4.8826174544294751,11.044493976279387,27.502351619384950,41.942821513679661,58.825403544018755,88.131173900938492,0.11527767494793463,1.0160384793910380,27.055359530007266,1.0177253987851242,27.695037120600333,1.2360750551327431,0.96601498401034169,1.2360750551327431,0.62825667645271521,1.2360750551327431,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00000099,HF00000000,SF00000000,HF1100,SF1100,HF0,HF0,16,14,4,16,9,0,0,0,0,0,0,0,0,0,0,60,0.78687799768561328,0.74057007959441679,0.12941970869597275,8.35650466443996764E-002,0.45699256948265804,5.76775401414063651E-002,2.29248277621793874E-002,2.43058555523408860E-002,1.58075353699585926E-002,14.064668491932306,510.87244554953173,358.29510327935338,13.014210402872957,56.298198405519194,67.090546673774313,3.21012802503161385E-004
2013-08-14T190000_AIU-0690.ghg,2013-08-14,19:30,226.812,F,35504,35504,0.11989107239525146,2,7.85307963598922201E-003,17.198272403033293,4,2.1651394403639901,33.502705647246430,2,3.5767265988968537,1.4711437293267244,1,0.17703744433514360,0.75980698822893411,2,8.11164893200050363E-002,-0.24419527206236771,0.0000000000000000,0.0000000000000000,0.0000000000000000,-1.14597777861686193E-010,-4.24615727226613475E-012,14.461761476041032,359.08410260723633,363.92615322059305,0.20000000000000001,F,535.84733323001205,13.305036119296711,13.484447176022437,1.0500000000000000,F,296.84741430725262,295.59854173923236,99504.642359729711,1.1668774351379705,1012.8396990329427,2.48027563742022200E-002,9.66653670908364064E-003,1318.6729745675591,2708.1132600813348,8.28410629771127519E-003,48.693420397341669,1389.4402855137757,284.23856148738764,1.5223709863216244,-2.4157020937396618,-0.11177082663531575,2.8575728763023514,6.86183764675723524E-014,-7.92419222592916246E-015,2.8575728763023514,7.9068529458189722,237.78094567684272,302.21905432315725,-2.2416333549409937,-9999.0,0.31802046042509263,1.0722186257234216,-166.73870037669988,-8.35618843647110456E-003,0.51333980557020509,4.57576597188427830E-002,kljun_04,35.462748834180054,-5.3816089517474461,12.173214101863531,30.313024325654911,46.229274733533018,64.837215132521280,97.137963156018174,0.11801449861749394,1.0159012138316990,18.696110828328358,1.0173861725492486,27.332038992222934,1.2257667880826344,1.2001824030718868,1.2257667880826344,0.61986259997910154,1.2257667880826344,HF00000099,HF00000099,HF00000099,HF00000099,HF00000099,SF00010099,HF00000000,SF00000000,HF1100,SF1100,HF0,HF0,25,5,2,8,4,0,0,0,0,0,0,0,0,0,0,60,1.1245009764174503,0.91618602349882627,0.10375025153056656,7.20926037530273678E-002,0.34817880486349878,6.11555732771607852E-002,1.58192291362678171E-002,3.01676244626111548E-002,1.55807834598515119E-002,14.142984850668558,524.03279918228452,359.08383897980161,13.304971211403338,56.350778082567828,67.145438996023216,3.20276373709059772E-004
