file_info;;;;;;;corrected_fluxes_and_quality_flags;;;;;;;;;;;;;;;storage_fluxes;;;;vertical_advection_fluxes;;gas_densities_concentrations_and_timelags;;;;;;;;;;air_properties;;;;;;;;;;;;;unrotated_wind;;;rotated_wind;;;;;;rotation_angles_for_tilt_correction;;;turbulence;;;;;;footprint;;;;;;;;uncorrected_fluxes;;;;;;;;;;statistical_flags;;;;;;;;;;;;spikes;;;;;;variances;;;;;;covariances;;;custom_variables;;;;
filename;date;time;DOY;daytime;file_records;used_records;Tau;qc_Tau;rand_err_Tau;H;qc_H;rand_err_H;LE;qc_LE;rand_err_LE;co2_flux;qc_co2_flux;rand_err_co2_flux;h2o_flux;qc_h2o_flux;rand_err_h2o_flux;H_strg;LE_strg;co2_strg;h2o_strg;co2_v-adv;h2o_v-adv;co2_molar_density;co2_mole_fraction;co2_mixing_ratio;co2_time_lag;co2_def_timelag;h2o_molar_density;h2o_mole_fraction;h2o_mixing_ratio;h2o_time_lag;h2o_def_timelag;sonic_temperature;air_temperature;air_pressure;air_density;air_heat_capacity;air_molar_volume;water_vapor_density;e;es;specific_humidity;RH;VPD;Tdew;u_unrot;v_unrot;w_unrot;u_rot;v_rot;w_rot;wind_speed;max_speed;wind_dir;yaw;pitch;roll;u*;TKE;L;(z-d)/L;bowen_ratio;T*;model;x_peak;x_offset;x_10%;x_30%;x_50%;x_70%;x_90%;un_Tau;Tau_scf;un_H;H_scf;un_LE;LE_scf;un_co2_flux;co2_scf;un_h2o_flux;h2o_scf;spikes;amplitude_resolution;drop_out;absolute_limits;skweness_kurtosis;skweness_kurtosis;discontinuities;discontinuities;timelag;timelag;attack_angle;non_steady_wind;u_spikes;v_spikes;w_spikes;ts_spikes;co2_spikes;h2o_spikes;u_var;v_var;w_var;ts_var;co2_var;h2o_var;w/ts_cov;w/co2_cov;w/h2o_cov;co2;h2o;co2;h2o;dew point
;[yyyy-mm-dd];[HH:MM];[ddd.ddd];[T/F];[#];[#];[kg+1m-1s-2];[#];[kg+1m-1s-2];[W+1m-2];[#];[W+1m-2];[W+1m-2];[#];[W+1m-2];[µmol+1s-1m-2];[#];[µmol+1s-1m-2];[mmol+1s-1m-2];[#];[mmol+1s-1m-2];[W+1m-2];[W+1m-2];[µmol+1s-1m-2];[mmol+1s-1m-2];[µmol+1s-1m-2];[mmol+1s-1m-2];[mmol+1m-3];[µmol+1mol_a-1];[µmol+1mol_d-1];[s];[T/F];[mmol+1m-3];[mmol+1mol_a-1];[mmol+1mol_d-1];[s];[T/F];[K];[K];[Pa];[kg+1m-3];[J+1kg-1K-1];[m+3mol-1];[kg+1m-3];[Pa];[Pa];[kg+1kg-1];[%];[Pa];[K];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[deg_from_north];[°];[°];[°];[m+1s-1];[m+2s-2];[m];[#];[#];[K];--;[m];[m];[m];[m];[m];[m];[m];[kg+1m-1s-2];[#];[W+1m-2];[#];[W+1m-2];[#];[µmol+1s-1m-2];[#];[mmol+1s-1m-2];[#];HFu/v/w/ts/co2/h2o/ch4/none;HFu/v/w/ts/co2/h2o/ch4/none;HFu/v/w/ts/co2/h2o/ch4/none;HFu/v/w/ts/co2/h2o/ch4/none;HFu/v/w/ts/co2/h2o/ch4/none;SFu/v/w/ts/co2/h2o/ch4/none;HFu/v/w/ts/co2/h2o/ch4/none;SFu/v/w/ts/co2/h2o/ch4/none;HFco2/h2o/ch4/none;SFco2/h2o/ch4/none;HFaa;HFU;[#];[#];[#];[#];[#];[#];[m+2s-2];[m+2s-2];[m+2s-2];[K+2];--;--;[m+1K+1s-1];--;--;--;--;--;--;--
2013-03-22T173000_AIU-0685.ghg;22.03.2013;18:00;81.749;F;36000;36000;9.83E-02;5;8.26E-03;6.179498142;7;3.676202575;8.649270808;9;2.340586596;5.844368587;5;1.737600862;0.190445175;9;5.15E-02;-9999;-9999;-9999;-9999;1.09E-10;5.65E-13;17.57143705;395.4899183;396.3008202;0.25;T;90.91074219;2.046177663;2.050373091;0.95;F;264.8070921;264.6352608;99318.34664;1.306482505;1006.155443;2.22E-02;1.66E-03;203.1455039;320.9885782;1.27E-03;63.28745561;117.8430742;258.8963047;-0.896847056;-0.545332744;8.28E-02;1.052886759;8.88E-14;6.22E-15;1.052886759;4.071267253;328.698079;211.301921;4.507893545;-9999;0.27129732;0.391233595;-287.0253559;-4.85E-03;0.714453077;1.73E-02;kljun_04;35.937296;-5.453623315;12.33611079;30.71866011;46.84789489;65.7048387;98.43782137;9.62E-02;1.021827761;6.448930114;1.020400178;7.211104272;1.199437767;4.872590096;1.199437767;0.158778705;1.199437767;HF00000099;HF00000099;HF00000099;HF00000099;HF00001099;SF00001099;HF00000000;SF00001000;HF0100;SF0100;HF0;HF1;6;25;1;20;17;0;0.451517799;0.257913298;7.30E-02;7.74E-02;30.18553221;1.01E-02;4.91E-03;0.108232887;3.53E-03;17.57874373;90.91902636;395.6233161;2.046164549;-14.3681055
2013-03-22T180000_AIU-0685.ghg;22.03.2013;18:30;81.77;F;36000;36000;6.23E-02;8;3.49E-03;-9.252641664;7;1.377498289;-1.843787388;4;0.827742712;0.589861068;9;0.240406463;-4.06E-02;4;1.82E-02;-0.230999068;-5.19E-02;-8.83E-02;-1.14E-03;3.45E-10;1.77E-12;17.52621711;392.9763069;393.7692081;0.2;F;89.80471507;2.013619086;2.017681928;0.25;T;264.5784682;264.4095156;99318.34664;1.307614015;1006.135999;2.21E-02;1.64E-03;199.9151397;315.3790693;1.25E-03;63.38884193;115.4639296;258.7011303;-1.334128905;-0.484120824;9.26E-02;1.422266577;1.21E-13;1.97E-14;1.422266577;3.831731015;340.0554768;199.9445232;3.731828305;-9999;0.216701056;0.35626788;97.69025572;1.43E-02;5.018280157;-3.25E-02;kljun_04;29.64170562;-4.498243186;10.17503833;25.33728413;38.64095699;54.1944916;81.19322395;6.14E-02;1.014470515;-9.194842057;1.015725966;-1.477624134;1.24780541;0.472718794;1.24780541;-3.25E-02;1.24780541;HF00000099;HF00000099;HF00000099;HF00000099;HF00000099;SF00000099;HF00000000;SF00000000;HF1000;SF1000;HF0;HF1;12;28;5;9;9;1;0.43019394;0.206923977;7.54E-02;9.31E-02;0.547151924;2.18E-03;-6.99E-03;1.05E-02;-7.22E-04;17.52766444;89.81440882;392.9762307;2.01361579;-14.55279714
2013-03-22T183000_AIU-0685.ghg;22.03.2013;19:00;81.791;F;36000;36000;4.55E-02;4;2.83E-03;-12.76535508;1;1.339177159;-0.740245009;1;0.529312181;0.883952692;4;0.240580901;-1.63E-02;1;1.16E-02;-0.48244415;2.67E-02;-7.82E-02;5.87E-04;-1.29E-11;-6.73E-14;17.50638514;390.7542685;391.5492383;0.2;F;90.96136874;2.030318813;2.034449394;0.25;T;264.1089336;263.9388829;99318.34664;1.309937379;1006.140986;2.21E-02;1.65E-03;201.5720448;303.9642178;1.26E-03;66.31439921;102.392173;258.8015871;-1.433557201;-0.997975118;2.15E-02;1.746855273;8.99E-15;-7.40E-16;1.746855273;4.377087478;325.1561789;214.8438211;0.70559226;-9999;0.184918644;0.316017791;43.99897098;3.17E-02;17.24477021;-5.24E-02;kormann_meixner_01;9.604124645;5;10;15;30;60;215;4.48E-02;1.014852977;-12.59535281;1.016665722;-0.579475114;1.277440553;0.691971685;1.277440553;-1.28E-02;1.277440553;HF00000099;HF00000099;HF00000099;HF00000099;HF00000099;SF00100099;HF00000000;SF00000000;HF1000;SF1000;HF0;HF0;33;20;9;1;0;0;0.368205102;0.213698931;5.01E-02;0.113100837;0.59895522;1.21E-03;-9.56E-03;1.53E-02;-2.82E-04;17.50773503;90.9683551;390.7542266;2.03031744;-14.44779164
2013-03-22T190000_AIU-0685.ghg;22.03.2013;19:30;81.812;F;36000;36000;5.72E-02;7;3.58E-03;-14.60730615;1;1.626001393;-1.041820907;4;0.398996576;0.491644942;4;0.261500947;-2.29E-02;4;8.78E-03;-0.241185793;-3.46E-02;2.84E-02;-7.62E-04;4.27E-11;2.19E-13;17.58449543;391.5610397;392.349143;0.25;F;90.2071265;2.008678406;2.012721316;0.25;T;263.8718983;263.7038102;99318.34664;1.311115804;1006.127422;2.21E-02;1.64E-03;199.4249345;298.4018928;1.25E-03;66.83098843;98.97695835;258.6712671;-1.618299346;-0.824801108;7.21E-02;1.817799494;-2.04E-14;2.43E-15;1.817799494;4.26335305;332.9933555;207.0066445;2.274658664;-9999;0.207402067;0.379398841;54.25004745;2.57E-02;14.02093781;-5.34E-02;kljun_04;31.88087026;-4.838045059;10.9436711;27.2512884;41.55993426;58.28839872;87.32664282;5.64E-02;1.014543758;-14.42554647;1.01634134;-0.818058915;1.273527967;0.386049584;1.273527967;-1.80E-02;1.273527967;HF00000099;HF00000099;HF00000099;HF00000099;HF00000099;SF00100199;HF00000000;SF00000000;HF1000;SF1000;HF0;HF0;11;33;11;6;1;9;0.47950259;0.221709908;5.76E-02;0.168247389;0.478578587;4.63E-04;-1.09E-02;8.54E-03;-3.98E-04;17.58591328;90.21384726;391.5610087;2.008678656;-14.57430316
2013-03-22T193000_AIU-0685.ghg;22.03.2013;20:00;81.833;F;36000;36000;0.135863939;1;4.89E-03;-47.24554209;1;2.652543716;-1.99E-02;4;0.103702174;-0.131969258;4;-9999;-4.38E-04;4;2.28E-03;-0.491425081;-6.57E-02;-3.88E-02;-1.45E-03;3.27E-10;1.65E-12;17.60349429;390.4602947;391.2301198;0.25;T;88.71188602;1.967704172;1.971583665;0.25;T;263.3900647;263.2257043;99318.34664;1.313517548;1006.101572;2.20E-02;1.61E-03;195.3594864;287.3680104;1.22E-03;67.982336;92.00852401;258.4210439;-1.934639436;-0.442914553;0.181081343;1.9929359;1.31E-14;1.86E-14;1.9929359;4.951828309;347.1049816;192.8950184;5.213176189;-9999;0.319326818;0.463286254;61.21698238;2.28E-02;2372.578056;-0.111956093;kljun_04;33.03379946;-5.013006514;11.33943438;28.23679494;43.06289391;60.39632101;90.48469453;0.133938881;1.014372659;-46.51928229;1.016264826;-1.56E-02;1.276901692;-0.10335115;1.276901692;-3.43E-04;1.276901692;HF00000099;HF00000099;HF00000099;HF00000099;HF00000099;SF00100099;HF00000000;SF00000000;HF0000;SF0000;HF0;HF0;20;55;16;7;6;1;0.531274324;0.270391842;0.124906343;0.175168359;0.769455361;1.66E-04;-3.52E-02;-2.28E-03;-7.58E-06;17.60484972;88.71858474;390.4602503;1.967703624;-14.82044543
2013-03-22T200000_AIU-0685.ghg;22.03.2013;20:30;81.854;F;36000;36000;0.190799252;4;6.55E-03;-48.96343249;4;2.587219581;0.113456083;7;0.169775904;4.01E-02;6;0.153056524;2.49E-03;7;3.73E-03;-0.372657447;-7.86E-02;-2.37E-02;-1.73E-03;-6.78E-10;-3.34E-12;17.60618265;389.7904806;390.5398347;0.25;T;86.66739626;1.918764942;1.922453679;0.9;F;263.0236936;262.863642;99318.34664;1.31535106;1006.072473;2.20E-02;1.57E-03;190.5036156;279.2558932;1.19E-03;68.21829737;88.75227755;258.1160055;-2.199120964;-0.502734251;0.216628155;2.266230902;6.98E-14;-3.85E-14;2.266230902;6.105984247;347.1230664;192.8769336;5.485257103;-9999;0.378223173;0.655117403;98.15096681;1.42E-02;-431.5628676;-9.78E-02;kljun_04;33.13447895;-5.028285014;11.37399439;28.32285424;43.19413979;60.58039521;90.76047122;0.188164611;1.014001788;-48.21747452;1.015989294;8.88E-02;1.277782146;3.14E-02;1.277782146;1.95E-03;1.277782146;HF00000099;HF00000099;HF00000099;HF00000099;HF00000099;SF00000099;HF00000000;SF00000000;HF0000;SF0100;HF0;HF0;4;22;5;3;7;1;0.764822703;0.371509562;0.173902541;0.127469543;0.387843105;1.87E-04;-3.64E-02;6.93E-04;4.31E-05;17.60758636;86.67396349;389.7904245;1.918764505;-15.12483831
not_enough_data;22.03.2013;21:00;81.874;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
2013-03-22T210000_AIU-0685.ghg;22.03.2013;21:30;81.895;F;36000;36000;0.133016495;2;5.35E-03;-32.6689669;4;2.376404909;-1.495962244;8;0.717768353;-1.383806139;4;0.588825427;-3.28E-02;8;1.58E-02;-9999;-9999;-9999;-9999;1.57E-10;6.88E-13;17.78182115;391.3887208;392.0626638;0.25;T;78.09722527;1.718967525;1.721927463;0.75;F;261.6587549;261.5161059;99318.34664;1.322228526;1005.955452;2.19E-02;1.41E-03;170.6776574;250.8284746;1.07E-03;68.04556687;80.1508172;256.7937714;-2.060687954;-0.534524551;0.155359275;2.134546285;1.70E-14;8.81E-15;2.134546285;5.755672665;345.4584556;194.5415444;4.173865289;-9999;0.314966647;0.633211003;84.9498437;1.64E-02;21.83809588;-7.80E-02;kljun_04;31.02908604;-4.708783518;10.65128114;26.52319606;40.4495475;56.7310655;84.99347388;0.131170344;1.014074451;-32.23448756;1.015996631;-1.173144946;1.275172559;-1.085191278;1.275172559;-2.58E-02;1.275172559;HF00000099;HF00000099;HF00000099;HF00000099;HF00000099;SF00100099;HF00000000;SF00000000;HF0100;SF0100;HF0;HF0;18;33;5;2;17;0;0.593902952;0.530411651;0.142107402;0.149731909;0.921495209;6.43E-04;-2.42E-02;-2.38E-02;-5.65E-04;17.78320877;78.10210438;391.3886634;1.718963846;-16.44417075
2013-03-22T213000_AIU-0685.ghg;22.03.2013;22:00;81.916;F;36000;36000;7.72E-02;1;4.51E-03;-29.7051078;1;2.354734199;0.218907324;1;0.198934341;0.26675234;4;0.357535231;4.80E-03;1;4.37E-03;-0.513428653;-0.168473387;-3.57E-02;-3.70E-03;1.92E-10;7.93E-13;17.77564877;390.3839023;391.0154135;0.4;F;73.53950402;1.615054332;1.617666952;0.65;F;261.1545131;261.0207421;99318.34664;1.32478983;1005.896412;2.19E-02;1.33E-03;160.3653247;241.0465372;1.00E-03;66.52878179;80.68121245;256.0507738;-1.864775748;-0.60518503;9.07E-02;1.962615869;1.60E-13;1.08E-14;1.962615869;5.772382764;342.0199381;197.9800619;2.648325853;-9999;0.239660124;0.526061267;41.15778942;3.39E-02;-135.6971859;-9.30E-02;kljun_04;29.29994102;-4.44637909;10.05772161;25.0451489;38.19543233;53.56963693;80.25707778;7.61E-02;1.014918258;-29.2172417;1.016905726;0.169920074;1.288295835;0.207058296;1.288295835;3.73E-03;1.288295835;HF00000099;HF00000099;HF00000099;HF00000099;HF00000099;SF00100099;HF00000000;SF00000000;HF0000;SF0000;HF0;HF1;44;28;10;0;0;1;0.580205371;0.376958471;9.50E-02;0.187978122;0.99014637;3.48E-04;-2.19E-02;4.53E-03;8.16E-05;17.77705183;73.54529806;390.3838589;1.615053887;-17.17715803
