"Obs"	"HHMMSS"	"FTime"	"EBal?"	"Photo"	"Cond"	"Ci"	"Trmmol"	"VpdL"	"CTleaf"	"Area"	"BLC_1"	"StmRat"	"BLCond"	"Tair"	"Tleaf"	"TBlk"	"CO2R"	"CO2S"	"H2OR"	"H2OS"	"RH_R"	"RH_S"	"Flow"	"PARi"	"PARo"	"Press"	"CsMch"	"HsMch"	"StableF"	"BLCslope"	"BLCoffst"	"f_parin"	"f_parout"	"alphaK"	"Status"
507	"15:26:43"	3372.0	0	8.14	0.101	232	2.4	2.48	29.23	6	0.646	1	1.29	30.62	29.23	30.67	389.70	381.95	14.030	16.052	31.63	36.19	700.3	400	105	99.54	44.6	0.427	1.0	-0.0878	1.17	1.00	0.00	0.16	111101
508	"15:26:48"	3384.0	0	10.9	0.092	170	2.13	2.4	29.27	6	0.646	1	1.29	30.64	29.27	30.68	392.17	382.12	15.110	16.906	34.04	38.09	700.3	400	98	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
509	"15:26:54"	3389.5	0	9.64	0.102	211	2.31	2.37	29.29	6	0.646	1	1.29	30.64	29.29	30.69	393.66	384.64	15.366	17.307	34.60	38.97	700.5	400	82	99.54	44.6	0.427	0.7	-0.0878	1.17	1.00	0.00	0.16	111101
510	"15:26:59"	3394.5	0	71	0.107	-697	2.4	2.35	29.30	6	0.646	1	1.29	30.65	29.30	30.69	502.28	440.54	15.465	17.482	34.82	39.36	700.4	400	53	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
511	"15:27:04"	3399.5	0	-14.9	0.11	629	2.47	2.35	29.30	6	0.646	1	1.29	30.65	29.30	30.69	405.47	417.34	15.410	17.490	34.68	39.36	700.4	400	48	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
512	"15:27:09"	3405.0	0	-4.47	0.155	423	3.5	2.44	29.28	6	0.646	1	1.29	30.65	29.28	30.70	385.86	388.52	13.598	16.544	30.61	37.24	700.2	400	73	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
513	"15:27:14"	3410.0	0	4.86	0.131	301	3.04	2.47	29.25	6	0.646	1	1.29	30.64	29.25	30.70	384.79	379.64	13.592	16.154	30.60	36.37	700.3	400	60	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
514	"15:27:19"	3415.0	0	8.03	0.114	243	2.66	2.46	29.23	6	0.646	1	1.29	30.64	29.23	30.70	384.54	376.80	13.995	16.240	31.51	36.57	700.4	400	82	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
515	"15:27:25"	3420.5	0	8.8	0.109	225	2.55	2.44	29.24	6	0.646	1	1.29	30.65	29.24	30.70	383.95	375.59	14.257	16.404	32.10	36.93	700.3	400	79	99.54	44.6	0.427	0.7	-0.0878	1.17	1.00	0.00	0.16	111101
516	"15:27:30"	3425.5	0	10.3	0.116	212	2.7	2.44	29.25	6	0.646	1	1.29	30.65	29.25	30.71	386.15	376.47	14.177	16.449	31.91	37.03	700.3	400	67	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
517	"15:27:35"	3430.5	0	10.7	0.11	201	2.55	2.42	29.22	6	0.646	1	1.29	30.65	29.22	30.71	387.97	378.01	14.432	16.580	32.48	37.32	700.3	400	105	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
518	"15:27:40"	3436.0	0	9.44	0.117	226	2.68	2.42	29.23	6	0.646	1	1.29	30.65	29.23	30.71	386.86	377.90	14.351	16.609	32.30	37.38	700.4	400	120	99.54	44.6	0.427	0.7	-0.0878	1.17	1.00	0.00	0.16	111101
519	"15:27:45"	3441.0	0	10.8	0.0979	179	2.25	2.39	29.25	6	0.646	1	1.29	30.65	29.25	30.71	388.78	378.77	15.078	16.973	33.93	38.20	700.3	400	134	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
520	"15:27:50"	3446.0	0	11.7	0.0944	160	2.13	2.34	29.25	6	0.646	1	1.29	30.66	29.25	30.71	391.53	380.83	15.686	17.480	35.29	39.33	700.3	400	151	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
521	"15:27:56"	3451.5	0	9.86	0.0963	202	2.14	2.31	29.29	6	0.646	1	1.29	30.66	29.29	30.71	396.64	387.48	16.099	17.900	36.21	40.26	700.5	400	153	99.54	44.6	0.427	0.3	-0.0878	1.17	1.00	0.00	0.16	111101
522	"15:28:01"	3456.5	0	43.9	0.143	-120	3.16	2.37	29.27	6	0.646	1	1.29	30.66	29.27	30.71	463.17	424.37	14.597	17.255	32.84	38.82	700.3	400	156	99.54	44.6	0.427	0.0	-0.0878	1.17	1.00	0.00	0.16	111101
